ID,Display Name,Category,Sub-Category,Primary Link,Secondary Link,Author Name,Author Link,Active,Date Added,Last Modified,Last Checked,License,Description,Removed From Origin,Stale,Repo Created,Latest Release,Release Version,Release Source
skill-d69e3bc4,Fullstack Dev Skills,Agent Skills,General,https://github.com/jeffallan/claude-skills,,jeffallan,https://github.com/jeffallan,TRUE,2026-02-05:03-33-57,2026-02-25:04-10-01,2026-02-14:19-08-06,MIT,"A comprehensive Claude Code plugin with 65 specialized skills covering full-stack development across a wide range of specific frameworks. Features 9 project workflow commands for Jira/Confluence integration and, notably, an interesting approach to context engineering via a  `/common-ground` command that surfaces Claude's hidden assumptions about your project. This is a smart thing to do.",FALSE,FALSE,2025-10-20:17-46-41,2026-02-24:19-57-33,v0.4.9,github-releases
skill-cf9ee629,read-only-postgres,Agent Skills,General,https://github.com/jawwadfirdousi/agent-skills,,jawwadfirdousi,https://github.com/jawwadfirdousi,TRUE,2026-02-04:13-50-06,2026-02-13:20-45-38,2026-02-14:19-08-08,NOT_FOUND,"Read-only PostgreSQL query skill for Claude Code. Executes SELECT/SHOW/EXPLAIN/WITH queries across configured databases with strict validation, timeouts, and row limits. Supports multiple connections with descriptions for database selection.",FALSE,FALSE,2026-02-02:21-31-52,,,
skill-294cc93f,Superpowers,Agent Skills,General,https://github.com/obra/superpowers,,Jesse Vincent,https://github.com/obra,TRUE,2025-12-22:07-20-47,2026-02-21:19-43-05,2026-02-14:19-08-11,MIT,"A strong bundle of core competencies for software engineering, with good coverage of a large portion of the SDLC - from planning, reviewing, testing, debugging... Well written, well organized, and adaptable. The author refers to them as ""superpowers"", but many of them are just consolidating engineering best practices - which sometimes does feel like a superpower when working with Claude Code.",FALSE,FALSE,2025-10-09:19-57-31,2026-01-23:20-09-36,v4.1.1,github-releases
skill-17aac0cc,Trail of Bits Security Skills,Agent Skills,General,https://github.com/trailofbits/skills,,Trail of Bits,https://github.com/trailofbits,TRUE,2026-01-19:01-35-02,2026-02-25:17-36-15,2026-02-14:19-08-13,CC-BY-SA-4.0,"A very professional collection of over a dozen security-focused skills for code auditing and vulnerability detection. Includes skills for static analysis with CodeQL and Semgrep, variant analysis across codebases, fix verification, and differential code review.",FALSE,FALSE,2026-01-14:20-24-03,,,
skill-bc4e0f53,TÂCHES Claude Code Resources,Agent Skills,General,https://github.com/glittercowboy/taches-cc-resources,,TÂCHES,https://github.com/glittercowboy,TRUE,2025-12-21:22-59-37,2026-01-26:02-10-29,2026-02-14:19-08-15,MIT,"A well-balanced, ""down-to-Earth"" set of sub agents, skills, and commands,  that are well-organized, easy to read, and a healthy focus on ""meta""-skills/agents, like ""skill-auditor"", hook creation, etc. - the kind of things you can adapt to your workflow, and not the other way around.",FALSE,FALSE,2025-11-13:18-01-51,,,
skill-1fc653a0,Web Assets Generator Skill,Agent Skills,General,https://github.com/alonw0/web-asset-generator,,Alon Wolenitz,https://github.com/alonw0,TRUE,2025-10-28:10-03-26,2026-01-28:09-11-01,2026-02-14:19-08-17,MIT,"Easily generate web assets from Claude Code including favicons, app icons (PWA), and social media meta images (Open Graph) for Facebook, Twitter, WhatsApp, and LinkedIn. Handles image resizing, text-to-image generation, emojis, and provides proper HTML meta tags.",FALSE,FALSE,2025-10-21:07-41-31,,,
wf-996c4dd3,AB Method,Workflows & Knowledge Guides,General,https://github.com/ayoubben18/ab-method,,Ayoub Bensalah,https://github.com/ayoubben18,TRUE,2025-09-12:15-03-57,2025-11-10:21-57-15,2026-02-14:19-08-19,MIT,"A principled, spec-driven workflow that transforms large problems into focused, incremental missions using Claude Code's specialized sub agents. Includes slash-commands, sub agents, and specialized workflows designed for specific parts of the SDLC.",FALSE,TRUE,2025-08-10:15-41-14,2025-11-10:21-57-20,v2.3.0,github-releases
wf-7d4f4706,Agentic Workflow Patterns,Workflows & Knowledge Guides,General,https://github.com/ThibautMelen/agentic-workflow-patterns,,ThibautMelen,https://github.com/ThibautMelen,TRUE,2025-11-26:16-41-49,2025-12-08:13-09-58,2026-02-14:19-08-21,NOT_FOUND,"A comprehensive and well-documented collection of agentic patterns from Anthropic docs, with colorful Mermaid diagrams and code examples for each pattern. Covers Subagent Orchestration, Progressive Skills, Parallel Tool Calling, Master-Clone Architecture, Wizard Workflows, and more. Also compatible with other providers.",FALSE,FALSE,2025-11-25:12-38-17,,,
wf-8376d518,Blogging Platform Instructions,Workflows & Knowledge Guides,General,https://github.com/cloudartisan/cloudartisan.github.io/tree/main/.claude/commands,,cloudartisan,https://github.com/cloudartisan,TRUE,2025-07-29,2026-02-16:02-18-43,2026-02-14:19-08-23,CC-BY-SA-4.0,"Provides a well-structured set of commands for publishing and maintaining a blogging platform, including commands for creating posts, managing categories, and handling media files.",FALSE,FALSE,2022-08-30:06-33-20,,,
wf-af6dda20,Claude Code Documentation Mirror,Workflows & Knowledge Guides,General,https://github.com/ericbuess/claude-code-docs,,Eric Buess,https://github.com/ericbuess,TRUE,2025-11-14:06-01-47,2026-02-26:03-46-55,2026-02-14:19-08-25,NOASSERTION,"A mirror of the Anthropic &copy; PBC documentation pages for Claude Code, updated every few hours. Can come in handy when trying to stay on top of the ever-expanding feature-set of Dr. Claw D. Code, Ph.D.",FALSE,FALSE,2025-07-09:14-15-29,2025-11-14:21-55-13,v0.3.3,github-releases
wf-fd5a0e6b,Claude Code Handbook,Workflows & Knowledge Guides,General,https://nikiforovall.blog/claude-code-rules/,,nikiforovall,https://github.com/nikiforovall,TRUE,2025-12-06:14-34-58,,2026-02-14:19-08-25,MIT,"Collection of best practices, tips, and techniques for Claude Code development workflows, enhanced with distributable plugins",FALSE,,,,,
wf-82428576,Claude Code Infrastructure Showcase,Workflows & Knowledge Guides,General,https://github.com/diet103/claude-code-infrastructure-showcase,,diet103,https://github.com/diet103,TRUE,2025-11-06:03-29-17,2025-10-31:01-41-24,2026-02-14:19-08-27,MIT,"A remarkably innovative approach to working with Skills, the centerpiece of which being a technique that leverages hooks to ensure that Claude intelligently selects and activates the appropriate Skill given the current context. Well-documented and adaptable to different projects and workflows.",FALSE,TRUE,2025-10-29:21-54-53,,,
wf-a59ba559,Claude Code PM,Workflows & Knowledge Guides,General,https://github.com/automazeio/ccpm,,Ran Aroussi,https://github.com/ranaroussi,TRUE,2025-09-01:07-52-50,2025-09-24:21-32-39,2026-02-14:19-08-29,MIT,"Really comprehensive and feature-packed project-management workflow for Claude Code. Numerous specialized agents, slash-commands, and strong documentation.",FALSE,TRUE,2025-08-18:23-20-08,,,
wf-fc9e9c97,Claude Code Repos Index,Workflows & Knowledge Guides,General,https://github.com/danielrosehill/Claude-Code-Repos-Index,,Daniel Rosehill,https://github.com/danielrosehill,TRUE,2025-12-30:22-26-20,2026-02-20:13-59-20,2026-02-14:19-08-31,NOT_FOUND,"This is either the work of a prolific genius, or a very clever bot (or both), although it hardly matters because the quality is so good - an index of 75+ Claude Code repositories published by the author - and I'm not talking about slop. CMS, system design, deep research, IoT, agentic workflows, server management, personal health... If you spot the lie, let me know, otherwise please check these out.",FALSE,FALSE,2025-10-11:21-40-41,,,
wf-b3c6f3e1,Claude Code System Prompts,Workflows & Knowledge Guides,General,https://github.com/Piebald-AI/claude-code-system-prompts,,Piebald AI,https://github.com/Piebald-AI,TRUE,2025-12-18:05-38-00,2026-02-25:23-59-44,2026-02-14:19-08-33,MIT,"All parts of Claude Code's system prompt, including builtin tool descriptions, sub agent prompts (Plan/Explore/Task), utility prompts (CLAUDE.md, compact, Bash cmd, security review, agent creation, etc.). Updated for each Claude Code version.",FALSE,FALSE,2025-11-19:04-50-55,2026-02-25:23-59-53,v2.1.59,github-releases
wf-cb2d350a,Claude Code Tips,Workflows & Knowledge Guides,General,https://github.com/ykdojo/claude-code-tips,,ykdojo,https://github.com/ykdojo,TRUE,2025-12-29:17-30-42,2026-02-24:04-03-41,2026-02-14:19-08-35,NOASSERTION,"A nice variety of 35+ brief but information-dense Claude Code tips covering voice input, system prompt patching, container workflows for risky tasks, conversation cloning(!), multi-model orchestration with Gemini CLI, and plenty more. Nice demos, working scripts, a plugin, I'd say this probably has a little something for everyone.",FALSE,FALSE,2025-11-28:00-51-36,2026-02-22:04-01-25,v0.25.1,github-releases
wf-918b0d98,Claude Code Ultimate Guide,Workflows & Knowledge Guides,General,https://github.com/FlorianBruniaux/claude-code-ultimate-guide,,Florian BRUNIAUX,https://www.linkedin.com/in/florian-bruniaux-43408b83/,TRUE,2026-02-11:18-31-46,2026-02-25:17-59-03,2026-02-14:19-08-37,CC-BY-SA-4.0,"A tremendous feat of documentation, this guide covers Claude Code from beginner to power user, with production-ready templates for Claude Code features, guides on agentic workflows, and a lot of great learning materials, including quizzes and a handy ""cheatsheet"". Whether it's the ""ultimate"" guide to Claude Code will be up to the reader, but a valuable resource nonetheless (as with all documentation sites, make sure it's up to date before you bet the farm).",FALSE,FALSE,2026-01-09:13-42-10,,,
wf-84b47071,Claude CodePro,Workflows & Knowledge Guides,General,https://github.com/maxritter/claude-codepro,,Max Ritter,https://www.maxritter.net,TRUE,2025-12-18:06-16-04,2026-02-25:15-31-27,2026-02-14:19-08-40,NOASSERTION,"Professional development environment for Claude Code with spec-driven workflow, TDD enforcement, cross-session memory, semantic search, quality hooks, and modular rules integration. A bit ""heavyweight"" but feature-packed and has wide coverage.",FALSE,FALSE,2025-10-24:05-48-02,2026-02-25:15-28-07,v7.0.4,github-releases
wf-dfd3f3db,claude-code-docs,Workflows & Knowledge Guides,General,https://github.com/costiash/claude-code-docs,https://github.com/costiash/claude-code-docs/blob/main/enhancements%2FCAPABILITIES.md,Constantin Shafranski,https://github.com/costiash,TRUE,2025-11-15:14-18-57,2026-02-26:00-37-09,2026-02-14:19-08-42,NOASSERTION,"A mirror of the Anthropic&copy; PBC documentation site for Claude/Code, but with bonus features like full-text search and query-time updates - a nice companion to `claude-code-docs` for up-to-the-minute, fully-indexed information so that Claude Code can read about itself.",FALSE,FALSE,2025-07-09:14-15-29,2025-12-05:22-59-06,v0.5.0,github-releases
wf-666ef1b9,ClaudoPro Directory,Workflows & Knowledge Guides,General,https://github.com/JSONbored/claudepro-directory,https://claudepro.directory/,ghost,https://github.com/JSONbored,TRUE,2025-09-25:13-57-35,2025-12-05:09-22-05,2026-02-14:19-08-44,MIT,"Well-crafted, wide selection of Claude Code hooks, slash commands, subagent files, and more, covering a range of specialized tasks and workflows. Better resources than your average ""Claude-template-for-everything"" site.",FALSE,FALSE,2025-09-15:01-34-08,,,
wf-b98b3b2d,Context Priming,Workflows & Knowledge Guides,General,https://github.com/disler/just-prompt/tree/main/.claude/commands,,disler,https://github.com/disler,TRUE,,2025-08-10:19-05-50,2026-02-14:19-08-46,NOT_FOUND,Provides a systematic approach to priming Claude Code with comprehensive project context through specialized commands for different project scenarios and development contexts.,FALSE,TRUE,2025-03-20:17-36-32,,,
wf-f9bf0f75,Design Review Workflow,Workflows & Knowledge Guides,General,https://github.com/OneRedOak/claude-code-workflows/tree/main/design-review,,Patrick Ellis,https://github.com/OneRedOak,TRUE,2025-09-11:20-01-42,2025-09-14:07-33-27,2026-02-14:19-08-48,MIT,"A tailored workflow for enabling automated UI/UX design review, including specialized sub agents, slash commands, `CLAUDE.md` excerpts, and more. Covers a broad range of criteria from responsive design to accessibility.",FALSE,TRUE,2025-08-12:03-34-54,,,
wf-28d0fc92,Laravel TALL Stack AI Development Starter Kit,Workflows & Knowledge Guides,General,https://github.com/tott/laravel-tall-claude-ai-configs,,tott,https://github.com/tott,TRUE,2025-08-17:12-59-22,2025-08-08:14-35-05,2026-02-14:19-08-50,MIT,"Transform your Laravel TALL (Tailwind, AlpineJS, Laravel, Livewire) stack development with comprehensive Claude Code configurations that provide intelligent assistance, systematic workflows, and domain expert consultation.",FALSE,TRUE,2025-08-08:13-08-59,,,
wf-98ee6249,Learn Claude Code,Workflows & Knowledge Guides,General,https://github.com/shareAI-lab/learn-claude-code,,shareAI-Lab,https://github.com/shareAI-lab/,TRUE,2026-01-27:20-55-32,2026-02-23:17-44-44,2026-02-14:19-08-52,MIT,"A really interesting analysis of how coding agents like Claude Code are designed. It attempts to break an agent down into its fundamental parts and reconstruct it with minimal code. Great learning resource. Final product is a rudimentary agent with skills, sub-agents, and a todo-list in roughly a few hundred lines of Python.",FALSE,FALSE,2025-06-29:15-34-15,,,
wf-a50134d3,learn-faster-kit,Workflows & Knowledge Guides,General,https://github.com/cheukyin175/learn-faster-kit,,Hugo Lau,https://github.com/cheukyin175,TRUE,2025-12-03:07-10-47,2025-12-04:05-33-17,2026-02-14:19-08-54,MIT,"A creative educational framework for Claude Code, inspired by the ""FASTER"" approach to self-teaching. Ships with a variety of agents, slash commands, and tools that enable Claude Code to help you progress at your own pace, employing well-established pedagogical techniques like active learning and spaced repetition.",FALSE,FALSE,2025-11-10:08-22-09,,,
wf-43a18fc2,n8n_agent,Workflows & Knowledge Guides,General,https://github.com/kingler/n8n_agent/tree/main/.claude/commands,,kingler,https://github.com/kingler,TRUE,,2025-05-16:17-30-29,2026-02-14:19-08-56,NOT_FOUND,"Amazing comprehensive set of comments for code analysis, QA, design, documentation, project structure, project management, optimization, and many more.",FALSE,TRUE,2025-05-16:17-30-29,,,
wf-1fddaad0,Project Bootstrapping and Task Management,Workflows & Knowledge Guides,General,https://github.com/steadycursor/steadystart/tree/main/.claude/commands,,steadycursor,https://github.com/steadycursor,TRUE,,2025-08-03:20-24-42,2026-02-14:19-08-59,NOT_FOUND,"Provides a structured set of commands for bootstrapping and managing a new project, including meta-commands for creating and editing custom slash-commands.",FALSE,TRUE,2024-05-14:22-13-33,,,
wf-bdb46cd1,"Project Management, Implementation, Planning, and Release",Workflows & Knowledge Guides,General,https://github.com/scopecraft/command/tree/main/.claude/commands,,scopecraft,https://github.com/scopecraft,TRUE,,2025-11-09:12-20-07,2026-02-14:19-09-01,NOT_FOUND,Really comprehensive set of commands for all aspects of SDLC.,FALSE,TRUE,2025-05-10:17-23-27,2025-06-06:04-25-20,v0.16.0,github-releases
wf-42a8d5a5,Project Workflow System,Workflows & Knowledge Guides,General,https://github.com/harperreed/dotfiles/tree/master/.claude/commands,,harperreed,https://github.com/harperreed,TRUE,2025-07-29,2026-02-25:19-02-28,2026-02-14:19-09-03,NOT_FOUND,"A set of commands that provide a comprehensive workflow system for managing projects, including task management, code review, and deployment processes.",FALSE,FALSE,2020-08-29:19-56-31,,,
wf-291eeb4a,RIPER Workflow,Workflows & Knowledge Guides,General,https://github.com/tony/claude-code-riper-5,,Tony Narlock,https://tony.sh,TRUE,2025-10-10:09-52-21,2026-02-08:00-06-34,2026-02-14:19-09-05,MIT,"Structured development workflow enforcing separation between Research, Innovate, Plan, Execute, and Review phases. Features consolidated subagents for context-efficiency, branch-aware memory bank, and strict mode enforcement for guided development.",FALSE,FALSE,2025-09-06:18-05-26,,,
wf-eee9a073,Shipping Real Code w/ Claude,Workflows & Knowledge Guides,General,https://diwank.space/field-notes-from-shipping-real-code-with-claude,,Diwank,https://github.com/creatorrr,TRUE,,,2026-02-14:19-09-06,NOT_FOUND,"A detailed blog post explaining the author's process for shipping a product with Claude Code, including CLAUDE.md files and other interesting resources.",FALSE,,,,,
wf-b4fe16fa,Simone,Workflows & Knowledge Guides,General,https://github.com/Helmi/claude-simone,,Helmi,https://github.com/Helmi,TRUE,2025-07-29,2025-08-26:12-11-04,2026-02-14:19-09-07,MIT,"A broader project management workflow for Claude Code that encompasses not just a set of commands, but a system of documents, guidelines, and processes to facilitate project planning and execution.",FALSE,TRUE,2025-05-23:12-05-25,2025-08-19:11-27-06,simone-mcp/v0.4.0,github-releases
wf-b6f047e2,Slash-commands megalist,Workflows & Knowledge Guides,General,https://github.com/wcygan/dotfiles/tree/d8ab6b9f5a7a81007b7f5fa3025d4f83ce12cc02/claude/commands,,wcygan,https://github.com/wcygan,FALSE,2025-07-29,,2026-02-14:19-09-08,NOT_FOUND,"A pretty stunning list (88 at the time of this post!) of slash-commands ranging from agent orchestration, code review, project management, security, documentation, self-assessment, almost anything you can dream of.",FALSE,,2023-03-10:04-05-48,,,
wf-61bd7b69,awesome-ralph,Workflows & Knowledge Guides,Ralph Wiggum,https://github.com/snwfdhmp/awesome-ralph,,Martin Joly,https://github.com/snwfdhmp,TRUE,2026-02-04:13-24-10,2026-02-03:08-34-42,2026-02-14:19-09-10,NOT_FOUND,"A curated list of resources about Ralph, the AI coding technique that runs AI coding agents in automated loops until specifications are fulfilled.",FALSE,FALSE,2026-01-19:08-42-54,,,
wf-8ceac0c4,Ralph for Claude Code,Workflows & Knowledge Guides,Ralph Wiggum,https://github.com/frankbria/ralph-claude-code,,Frank Bria,https://github.com/frankbria,TRUE,2026-01-09:16-32-31,2026-02-25:22-56-55,2026-02-14:19-09-12,MIT,"An autonomous AI development framework that enables Claude Code to work iteratively on projects until completion. Features intelligent exit detection, rate limiting, circuit breaker patterns, and comprehensive safety guardrails to prevent infinite loops and API overuse. Built with Bash, integrated with tmux for live monitoring, and includes 75+ comprehensive tests.",FALSE,FALSE,2025-08-27:16-03-46,,,
wf-2fdeff7e,Ralph Wiggum Marketer,Workflows & Knowledge Guides,Ralph Wiggum,https://github.com/muratcankoylan/ralph-wiggum-marketer,,Muratcan Koylan,https://github.com/muratcankoylan,TRUE,2026-01-13:14-06-16,2026-02-01:23-16-28,2026-02-14:19-09-14,NOT_FOUND,"A Claude Code plugin that provides an autonomous AI copywriter,  integrating the Ralph loop with customized knowledge bases for market research agents. The agents do the research, Ralph writes the copy, you stay in bed. Whether or not you practice Ralph-Driven Development (RDD), I think these projects are interesting and creative explorations of general agentic patterns.",FALSE,FALSE,2026-01-07:07-49-14,,,
wf-5e01a9a6,Ralph Wiggum Plugin,Workflows & Knowledge Guides,Ralph Wiggum,https://github.com/anthropics/claude-code/tree/4f18698a9ed25517861a75125b526e319bcf8354/plugins/ralph-wiggum,,Anthropic PBC,https://github.com/anthropics,FALSE,2026-01-10:21-13-16,2026-01-14:00-03-57,2026-01-14:16-36-08,&copy;,"The official Anthropic implementation of the Ralph Wiggum technique for iterative, self-referential AI development loops in Claude Code.",FALSE,FALSE,2025-02-22:17-29-29,2026-01-14:00-04-17,v2.1.7,github-releases
wf-bc51a50b,ralph-orchestrator,Workflows & Knowledge Guides,Ralph Wiggum,https://github.com/mikeyobrien/ralph-orchestrator,https://mikeyobrien.github.io/ralph-orchestrator/,mikeyobrien,https://github.com/mikeyobrien,TRUE,2026-01-10:19-24-51,2026-02-25:16-51-45,2026-02-14:19-09-16,MIT,"Ralph Orchestrator implements the simple but effective ""Ralph Wiggum"" technique for autonomous task completion, continuously running an AI agent against a prompt file until the task is marked as complete or limits are reached. This implementation provides a robust, well-tested, and feature-complete orchestration system for AI-driven development. Also cited in the Anthropic Ralph plugin documentation.",FALSE,FALSE,2025-09-07:16-55-41,2026-02-25:03-12-27,v2.6.0,github-releases
wf-316367ff,ralph-wiggum-bdd,Workflows & Knowledge Guides,Ralph Wiggum,https://github.com/marcindulak/ralph-wiggum-bdd,,marcindulak,https://github.com/marcindulak,TRUE,2026-02-03:05-23-14,2026-02-06:10-00-12,2026-02-14:19-09-18,Apache-2.0,"A standalone Bash script for Behavior-Driven Development with Ralph Wiggum Loop. In principle, while running unattended, the script can keep code and requirements in sync, but in practice it still requires interactive human supervision, so it supports both modes. The script is standalone and can be modified and committed into your project.",FALSE,FALSE,2026-01-20:03-11-32,,,
wf-aa051a6c,The Ralph Playbook,Workflows & Knowledge Guides,Ralph Wiggum,https://github.com/ClaytonFarr/ralph-playbook,,Clayton Farr,https://github.com/ClaytonFarr,TRUE,2026-01-13:04-31-02,2026-02-23:21-21-45,2026-02-14:19-09-20,NOT_FOUND,"A remarkably detailed and comprehensive guide to the Ralph Wiggum technique, featuring well-written theoretical commentary paired with practical guidelines and advice.",FALSE,FALSE,2026-01-09:21-54-12,,,
tool-9f8d507e,cc-sessions,Tooling,General,https://github.com/GWUDCAP/cc-sessions,,toastdev,https://github.com/satoastshi,TRUE,2025-10-24:22-04-36,2025-10-17:14-50-52,2026-02-14:19-09-22,MIT,An opinionated approach to productive development with Claude Code,FALSE,TRUE,2025-08-26:17-02-09,2025-10-17:13-34-37,v0.3.6,github-releases
hook-edd83641,cc-tools,Tooling,General,https://github.com/Veraticus/cc-tools,,Josh Symonds,https://github.com/Veraticus,TRUE,2025-07-29,2026-01-22:00-17-15,2026-02-14:19-09-24,NOT_FOUND,"High-performance Go implementation of Claude Code hooks and utilities. Provides smart linting, testing, and statusline generation with minimal overhead.",FALSE,FALSE,2025-08-25:23-40-18,,,
tool-b7bb841e,ccexp,Tooling,General,https://github.com/nyatinte/ccexp,https://www.npmjs.com/package/ccexp,nyatinte,https://github.com/nyatinte,TRUE,2025-07-29,2025-11-08:18-40-34,2026-02-14:19-09-26,MIT,Interactive CLI tool for discovering and managing Claude Code configuration files and slash commands with a beautiful terminal UI.,FALSE,TRUE,2025-06-30:16-28-36,2025-07-30:12-59-21,v4.0.0,github-releases
tool-d9c9bde8,cchistory,Tooling,General,https://github.com/eckardt/cchistory,,eckardt,https://github.com/eckardt,TRUE,2025-08-30:01-30-34,2025-10-23:11-41-46,2026-02-14:19-09-28,MIT,"Like the shell history command but for your Claude Code sessions. Easily list all Bash or ""Bash-mode"" (`!`) commands Claude Code ran in a session for reference.",FALSE,TRUE,2025-06-07:16-37-43,2025-09-10:18-14-40,v0.2.1,github-releases
tool-48212d39,cclogviewer,Tooling,General,https://github.com/Brads3290/cclogviewer,,Brad S.,https://github.com/Brads3290,TRUE,2025-08-05:11-48-39,2025-08-08:08-12-45,2026-02-14:19-09-30,MIT,A humble but handy utility for viewing Claude Code `.jsonl` conversation files in a pretty HTML UI.,FALSE,TRUE,2025-07-27:23-02-49,,,
